date,vehicle,weight
2016-10-07,13,17.05
2016-10-10,13,17
2016-10-10,15,18.6
2016-10-10,14,15.4
2016-10-11,15,14.9
2016-10-11,13,17.55
2016-10-11,14,13.6
2016-10-12,14,10.3
2016-10-12,15,21.3
2016-10-12,13,14.45
2016-10-13,13,15.85
2016-10-13,15,17.8
2016-10-13,14,10.1
2016-10-14,15,18.35
2016-10-14,14,21.58
2016-10-14,13,15.8
2016-10-17,13,22.9
2016-10-17,15,23.45
2016-10-17,14,30.48
2016-10-18,14,23.96
2016-10-18,15,26.25
2016-10-18,13,28.5
2016-10-19,15,13.75
2016-10-19,13,15.95
2016-10-19,14,10.1
2016-10-20,15,13.85
2016-10-20,13,19.15
2016-10-20,14,20.26
2016-10-21,15,15
2016-10-21,13,15.95
2016-10-21,14,21.7
2016-10-21,8,10.15
2016-10-24,14,12.33
2016-10-24,15,17.8
2016-10-24,13,17.65
2016-10-25,15,15.15
2016-10-25,13,15.2
2016-10-25,14,20.2
2016-10-26,14,13.64
2016-10-26,13,14.856
2016-10-26,15,25.7
2016-10-27,13,18.5
2016-10-27,15,13.55
2016-10-27,14,20.34
2016-10-28,13,21
2016-10-28,14,26.48
2016-10-28,19,3.1
2016-10-31,13,23.25
2016-10-31,15,25.25
2016-10-31,14,28.32
2016-11-01,14,20.18
2016-11-01,15,23.9
2016-11-01,13,26.9
2016-11-02,14,10
2016-11-02,13,16.15
2016-11-02,15,14
2016-11-03,15,19.3
2016-11-03,13,19.8
2016-11-03,14,15.1
2016-11-04,13,18.45
2016-11-04,14,23.08
2016-11-04,15,20.95
2016-11-07,13,10.65
2016-11-07,15,9.7
2016-11-07,14,10.5
2016-11-07,13,10.2
2016-11-07,14,7.3
2016-11-07,15,8.75
2016-11-07,15,3.35
2016-11-08,15,5.15
2016-11-08,14,8.17
2016-11-08,15,9.55
2016-11-08,13,11.7
2016-11-08,14,10.18
2016-11-08,13,9.95
2016-11-09,14,10.22
2016-11-09,13,3
2016-11-09,15,10.15
2016-11-09,13,11.35
2016-11-09,14,8.78
2016-11-09,15,9.85
2016-11-09,15,9.638
2016-11-10,14,10.28
2016-11-10,13,10.5
2016-11-10,13,2.5
2016-11-10,15,9.95
2016-11-10,15,10
2016-11-10,14,10.22
2016-11-11,14,10.2
2016-11-11,13,6.6
2016-11-11,13,10.95
2016-11-11,15,9.9
2016-11-11,14,10.2
2016-11-11,14,5.32
2016-11-11,15,5.75
2016-11-14,15,9.55
2016-11-14,13,10.75
2016-11-14,13,10.25
2016-11-14,14,5.88
2016-11-14,14,10.1
2016-11-14,15,2.45
2016-11-14,14,10.08
2016-11-15,14,10.35
2016-11-15,13,11.4
2016-11-15,15,10.25
2016-11-15,14,9.4
2016-11-15,15,9.9
2016-11-15,13,10.65
2016-11-16,14,5.88
2016-11-16,13,5.6
2016-11-16,14,10.1
2016-11-16,13,11.5
2016-11-16,15,5.55
2016-11-17,15,8.75
2016-11-17,13,10.95
2016-11-17,14,10.24
2016-11-17,14,10.16
2016-11-17,15,5.3
2016-11-17,13,5.1
2016-11-18,15,10
2016-11-18,14,10.25
2016-11-18,14,10.5
2016-11-18,,5.4
2016-11-18,13,11.35
2016-11-18,13,11.15
2016-11-21,13,9.55
2016-11-21,14,10.24
2016-11-21,15,9.45
2016-11-21,13,10.2
2016-11-21,15,10.15
2016-11-21,14,7.88
2016-11-22,14,10.18
2016-11-22,15,9.15
2016-11-22,15,7.15
2016-11-22,13,5.3
2016-11-22,14,10.16
2016-11-22,13,10.9
2016-11-23,14,10.18
2016-11-23,13,9.2
2016-11-23,13,3.35
2016-11-23,15,9
2016-11-23,14,9.82
2016-11-23,15,9.05
2016-11-23,15,6.45
